染色		{'dyeing':1.0}	{'dyeing': 3684}	dyeing
结晶	{'结晶':0.87206,'结晶度':0.12794}	{'crystallization':0.53333,'crystallinity':0.13333,'crystallize':0.1,'crystal':0.1,'crystalline':0.06667,'crystallization ':0.06667}	{'crystallinity': 3861, 'crystallization': 2102, 'crystal': 259, 'crystalline': 34, 'crystallize': 0, 'crystallization ': 0}	crystallization
高速	{'高速':0.75187,'高速化':0.12524,'高速度':0.12289}	{'high speed':0.51613,'high-speed':0.35484,'hi-speed':0.12903}	{'high speed': 87, 'high-speed': 20, 'hi-speed': 0}	high speed
整经速度		{'warping speed':1.0}	{'warping speed': 0}	warping speed
知识图谱		{'knowledge graph':0.4375,'knowledge map':0.40625,'knowledge mapping':0.15625}	{'knowledge mapping': 4, 'knowledge graph': 3, 'knowledge map': 3}	knowledge graph
过氧乙酸	{'过氧乙酸':0.83744,'过醋酸':0.16256}	{'peracetic acid':0.75862,'peroxyacetic acid':0.13793,'peroxy-acetic acid':0.10345}	{'peracetic acid': 88, 'peroxyacetic acid': 12, 'peroxy-acetic acid': 0}	peracetic acid
化学防护服		{'chemical protective clothing':0.92857,'chemical protective suit':0.07143}	{'chemical protective clothing': 9, 'chemical protective suit': 0}	chemical protective clothing
Tencel纤维	{'Tencel纤维':0.61111,'天丝纤维':0.25903,'天丝':0.11153,'Tencel':0.01833}	{'tencel fiber':0.8125,'tencel':0.09375,'tencel fibre':0.09375}	{'tencel': 42, 'tencel fiber': 0, 'tencel fibre': 0}	tencel fiber
顶梳		{'top comb':1.0}	{'top comb': 0}	top comb
纤维艺术		{'fiber art':1.0}	{'fiber art': 9}	fiber art
新工科		{'new engineering':0.81481,'emerging engineering education':0.18519}	{'new engineering': 0, 'emerging engineering education': 0}	new engineering
抗菌织物		{'antibacterial fabric':0.68,'anti-bacterial fabric':0.2,'antibacterial fabrics':0.12}	{'antibacterial fabric': 9, 'antibacterial fabrics': 6, 'anti-bacterial fabric': 0}	antibacterial fabric
智能纤维		{'intelligent fiber':0.51724,'smart fiber':0.34483,'intelligent fibers':0.13793}	{'smart fiber': 5, 'intelligent fiber': 0, 'intelligent fibers': 0}	intelligent fiber
双层组织	{'双层组织':0.91818,'双层结构':0.08182}	{'double weave':0.65,'double-layer weave':0.25,'double-layer structure':0.1}	{'double-layer structure': 9, 'double weave': 0, 'double-layer weave': 0}	double weave
机器学习		{'machine learning':1.0}	{'machine learning': 472}	machine learning
包装设计		{'packaging design':0.6875,'packing design':0.21875,'package design':0.09375}	{'packaging design': 6, 'package design': 4, 'packing design': 0}	packaging design
浆液性能	{'浆液性能':0.59293,'上浆性能':0.17692,'浆纱性能':0.14615,'浆料性能':0.084}	{'sizing property':0.4,'size performance':0.28,'slurry properties':0.12,'slurry performance':0.12,'size property':0.08}	{'sizing property': 10, 'slurry properties': 3, 'size performance': 0, 'slurry performance': 0, 'size property': 0}	sizing property
上机张力		{'loom tension':0.87097,'looming tension':0.12903}	{'loom tension': 0, 'looming tension': 0}	loom tension
混合式教学	{'混合式教学':0.9359,'混合教学':0.0641}	{'blended teaching':0.42308,'mixed teaching':0.38462,'hybrid teaching':0.19231}	{'blended teaching': 0, 'mixed teaching': 0, 'hybrid teaching': 0}	blended teaching
苏木	{'苏木':0.9375,'苏木色素':0.0625}	{'sappanwood':0.5,'sappan wood':0.25,'hematoxylin':0.25}	{'sappanwood': 6, 'sappan wood': 5, 'hematoxylin': 3}	sappanwood
茜草	{'茜草':0.9471,'茜素':0.03174,'茜草素':0.02116}	{'madder':0.92593,'alizarin':0.07407}	{'alizarin': 55, 'madder': 44}	madder
固相萃取		{'solid phase extraction':0.51852,'solid-phase extraction':0.25926,'solid phase extraction(spe)':0.11111,'spe':0.11111}	{'solid-phase extraction': 116, 'solid phase extraction': 82, 'spe': 4, 'solid phase extraction(spe)': 0}	solid phase extraction
芳纶织物	{'芳纶织物':0.84487,'芳纶':0.08846,'Kevlar织物':0.06667}	{'aramid fabric':0.76667,'kevlar fabric':0.13333,'aramid fabrics':0.1}	{'aramid fabrics': 53, 'aramid fabric': 27, 'kevlar fabric': 21}	aramid fabric
曲线拟合		{'curve fitting':0.89655,'curve-fitting':0.10345}	{'curve fitting': 342, 'curve-fitting': 0}	curve fitting
传统图案	{'传统纹样':0.54654,'传统图案':0.45346}	{'traditional pattern':0.625,'traditional patterns':0.375}	{'traditional pattern': 10, 'traditional patterns': 0}	traditional pattern
摇架	{'摇架':0.94636,'上销':0.05364}	{'cradle':0.68966,'reel':0.24138,'top cradle':0.06897}	{'cradle': 0, 'reel': 0, 'top cradle': 0}	cradle
纳米SiO2	{'纳米SiO2':0.63792,'纳米二氧化硅':0.34926,'纳米氧化硅':0.01282}	{'nano-sio2':0.76923,'nano sio2':0.11538,'nano-silica':0.11538}	{'nano-silica': 71, 'nano-sio2': 17, 'nano sio2': 0}	nano-sio2
服装风格	{'服装风格':0.65351,'服装款式':0.23948,'服饰风格':0.07017,'服装造型':0.03684}	{'clothing style':0.7,'fashion style':0.23333,'dress style':0.06667}	{'fashion style': 8, 'clothing style': 7, 'dress style': 5}	clothing style
缝制工艺	{'缝制工艺':0.88148,'缝合工艺':0.05926,'缝纫工艺':0.05926}	{'sewing process':0.59259,'sewing technology':0.40741}	{'sewing process': 11, 'sewing technology': 5}	sewing process
织物疵点检测	{'织物疵点检测':0.48063,'布匹瑕疵检测':0.15738,'疵点检测':0.11017,'织物缺陷检测':0.09443,'织物瑕疵检测':0.09443,'布匹疵点检测':0.06296}	{'fabric defect detection':0.92857,'fabric defects detection':0.07143}	{'fabric defect detection': 107, 'fabric defects detection': 3}	fabric defect detection
针法	{'针法':0.6254,'组织结构':0.10053,'缝迹':0.10053,'线迹':0.06031,'组织':0.06031,'针刺':0.05291}	{'stitch':0.7037,'needle method':0.07407,'needling skill':0.07407,'stitch method':0.07407,'needling':0.07407}	{'stitch': 95, 'needling': 44, 'needle method': 0, 'needling skill': 0, 'stitch method': 0}	stitch
糊料	{'糊料':0.43017,'增稠剂':0.28436,'浆料':0.18214,'色浆':0.04429,'印花糊料':0.03619,'印花浆':0.02286}	{'paste':0.56667,'thickener':0.36667,'printing paste':0.06667}	{'printing paste': 42, 'thickener': 27, 'paste': 16}	paste
取向度	{'取向度':0.77823,'取向':0.14415,'定位':0.07762}	{'orientation degree':0.375,'orientation':0.34375,'degree of orientation':0.28125}	{'orientation': 231, 'degree of orientation': 34, 'orientation degree': 15}	degree of orientation
芯吸高度		{'wicking height':0.92308,'core suction height':0.07692}	{'wicking height': 7, 'core suction height': 0}	wicking height
柔软度	{'柔软性':0.55813,'柔软度':0.33721,'柔软':0.05814,'柔性':0.02326,'柔软性能':0.02326}	{'softness':1.0}	{'softness': 74}	softness
成纱条干	{'条干均匀度':0.34138,'条干':0.24586,'成纱条干':0.22242,'纱线条干':0.1269,'纱线条干均匀度':0.03965,'条干均匀性':0.02379}	{'yarn evenness':0.92,'yarn eveness':0.08}	{'yarn evenness': 44, 'yarn eveness': 0}	yarn evenness
一步法		{'one-step method':0.2963,'one step method':0.22222,'one-step process':0.18519,'one-step':0.14815,'one step':0.14815}	{'one-step process': 53, 'one step': 28, 'one-step': 22, 'one-step method': 18, 'one step method': 0}	one-step method
自组装		{'self-assembly':0.92593,'self-assembled':0.07407}	{'self-assembly': 1526, 'self-assembled': 130}	self-assembly
织针	{'织针':0.90278,'刺针':0.05833,'针刺':0.03889}	{'knitting needle':0.5,'needle':0.23333,'knitting needles':0.16667,'needles':0.1}	{'needles': 674, 'needle': 76, 'knitting needles': 12, 'knitting needle': 9}	knitting needle
透气性能	{'透气性':0.638,'透气率':0.08339,'透气性能':0.07962,'透气':0.04243,'渗透性':0.04058,'渗透率':0.03551,'透气量':0.03228,'渗透性能':0.02283,'浸透性':0.01015,'透湿性':0.01015,'渗透':0.00507}	{'air permeability':0.76667,'permeability':0.23333}	{'permeability': 2411, 'air permeability': 821}	air permeability
后处理	{'后处理':0.88937,'后整理':0.11063}	{'post-treatment':0.34483,'post-processing':0.24138,'after-treatment':0.17241,'aftertreatment':0.13793,'after treatment':0.10345}	{'after-treatment': 149, 'post-treatment': 56, 'aftertreatment': 54, 'post-processing': 13, 'after treatment': 5}	post-treatment
服装款式	{'服装款式':0.53333,'服装风格':0.32655,'服装造型':0.10902,'服饰风格':0.0311}	{'clothing style':0.59091,'garment style':0.18182,'clothing styles':0.13636,'costume styles':0.09091}	{'clothing style': 7, 'clothing styles': 7, 'garment style': 4, 'costume styles': 0}	clothing style
染色效果	{'染色效果':0.87097,'染色性能':0.12503,'染色性':0.004}	{'dyeing effect':0.77419,'dyeing property':0.12903,'dyeing effects':0.09677}	{'dyeing property': 47, 'dyeing effect': 0, 'dyeing effects': 0}	dyeing effect
静电	{'静电':0.93952,'静态':0.06048}	{'static electricity':0.6129,'electrostatic':0.22581,'static':0.16129}	{'static electricity': 709, 'electrostatic': 18, 'static': 5}	static electricity
纯棉	{'纯棉':0.57519,'棉':0.34286,'棉花':0.04196,'棉织物':0.0236,'棉纤维':0.01639}	{'pure cotton':0.56667,'cotton':0.43333}	{'cotton': 6599, 'pure cotton': 0}	pure cotton
劳动布	{'牛仔布':0.55062,'劳动布':0.15285,'牛仔面料':0.11646,'牛仔':0.11589,'牛仔织物':0.06418}	{'denim':0.83333,'denim fabric':0.16667}	{'denim fabric': 120, 'denim': 83}	denim
纬编织物	{'纬编针织物':0.46594,'纬编织物':0.40976,'纬编面料':0.07241,'纬编针织面料':0.03114,'纬编':0.02076}	{'weft knitted fabric':0.65385,'weft-knitted fabric':0.15385,'weft knitting fabric':0.11538,'weft knited fabric':0.07692}	{'weft knitted fabric': 36, 'weft-knitted fabric': 18, 'weft knitting fabric': 0, 'weft knited fabric': 0}	weft knitted fabric
开口时间		{'shed timing':0.46667,'shed time':0.43333,'opening time':0.1}	{'shed timing': 3, 'shed time': 0, 'opening time': 0}	shed timing
纳米二氧化硅	{'纳米二氧化硅':0.61017,'纳米SiO2':0.33633,'纳米氧化硅':0.0535}	{'nano-silica':0.48148,'nano-sio2':0.2963,'nano silicon dioxide':0.07407,'nano sio2':0.07407,'nano silica':0.07407}	{'nano-silica': 71, 'nano silica': 63, 'nano-sio2': 17, 'nano silicon dioxide': 4, 'nano sio2': 0}	nano-silica
丝光羊毛	{'丝光羊毛':0.84467,'丝光毛':0.15533}	{'mercerized wool':0.80769,'chlorinated wool':0.19231}	{'mercerized wool': 11, 'chlorinated wool': 3}	mercerized wool
剥离强度	{'剥离强度':0.83421,'剥离强力':0.16579}	{'peel strength':0.7037,'peeling strength':0.2963}	{'peel strength': 37, 'peeling strength': 14}	peel strength
丝绸服装	{'丝绸服装':0.87303,'丝绸服饰':0.07524,'真丝服装':0.05173}	{'silk garments':0.27586,'silk garment':0.27586,'silk clothing':0.2069,'silk costume':0.10345,'silk fashion':0.06897,'silk costumes':0.06897}	{'silk garments': 0, 'silk garment': 0, 'silk clothing': 0, 'silk costume': 0, 'silk fashion': 0, 'silk costumes': 0}	silk garments
亲水改性		{'hydrophilic modification':1.0}	{'hydrophilic modification': 81}	hydrophilic modification
快时尚		{'fast fashion':1.0}	{'fast fashion': 22}	fast fashion
化学脱胶		{'chemical degumming':1.0}	{'chemical degumming': 10}	chemical degumming
热定形	{'热定形':0.50953,'热定型':0.49047}	{'heat setting':0.71429,'heat-setting':0.28571}	{'heat setting': 80, 'heat-setting': 11}	heat setting
蒙古族		{'mongolian':0.92,'mongolia':0.08}	{'mongolian': 0, 'mongolia': 0}	mongolian
减量率	{'减量率':0.64942,'失重率':0.22821,'失重':0.03368,'质量损失':0.03368,'减量':0.03368,'质量损失率':0.02133}	{'weight loss':0.32,'weight loss rate':0.16,'weight loss ratio':0.12,'reduction rate':0.08,'deweighting ratio':0.08,'deweighting rate':0.08,'reduction rate of weight':0.08,'decrement rate':0.08}	{'weight loss': 189, 'reduction rate': 34, 'weight loss rate': 3, 'weight loss ratio': 0, 'deweighting ratio': 0, 'deweighting rate': 0, 'reduction rate of weight': 0, 'decrement rate': 0}	weight loss
热湿传递		{'heat and moisture transfer':0.86957,'heat-moisture transfer':0.13043}	{'heat and moisture transfer': 37, 'heat-moisture transfer': 0}	heat and moisture transfer
新型纺纱	{'新型纺纱':0.92929,'新型纺纱技术':0.05051,'纺纱新技术':0.0202}	{'new spinning':0.45455,'new spinning system':0.45455,'new spinning technology':0.09091}	{'new spinning': 0, 'new spinning system': 0, 'new spinning technology': 0}	new spinning
光催化剂	{'光催化剂':0.72636,'光催化':0.19689,'光触媒':0.07675}	{'photocatalyst':0.7931,'photocatalysis':0.06897,'photo-catalyst':0.06897,'photocatalysts':0.06897}	{'photocatalysis': 4903, 'photocatalysts': 1971, 'photocatalyst': 666, 'photo-catalyst': 14}	photocatalyst
耐碱性		{'alkali resistance':0.78571,'alkali-resistance':0.14286,'alkali-resistant':0.07143}	{'alkali resistance': 34, 'alkali-resistance': 0, 'alkali-resistant': 0}	alkali resistance
紧度	{'紧度':0.93142,'密合性':0.06858}	{'tightness':0.92593,'compactness of fabric':0.07407}	{'tightness': 6, 'compactness of fabric': 0}	tightness
硬挺度	{'硬挺度':0.82857,'刚度':0.17143}	{'stiffness':1.0}	{'stiffness': 1067}	stiffness
湿摩擦牢度	{'湿摩擦牢度':0.69234,'耐湿摩擦色牢度':0.25724,'湿摩擦色牢度':0.05042}	{'wet rubbing fastness':0.85714,'color fastness to wet rubbing':0.07143,'wet crock fastness':0.07143}	{'wet rubbing fastness': 3, 'color fastness to wet rubbing': 0, 'wet crock fastness': 0}	wet rubbing fastness
气相色谱	{'气相色谱法':0.59075,'气相色谱':0.40925}	{'gas chromatography':0.81481,'gas chromatography(gc)':0.11111,'gas chromatography (gc) ':0.07407}	{'gas chromatography': 1740, 'gas chromatography(gc)': 0, 'gas chromatography (gc) ': 0}	gas chromatography
扫描电镜	{'扫描电镜':0.55624,'扫描电子显微镜':0.23497,'SEM':0.18681,'结构方程模型':0.02198}	{'sem':0.42857,'scanning electron microscope':0.35714,'scanning electron microscopy':0.21429}	{'scanning electron microscopy': 21211, 'sem': 1144, 'scanning electron microscope': 263}	sem
识别	{'识别':0.70918,'鉴别':0.2408,'鉴定':0.0261,'标识':0.00652,'身份识别':0.00435,'定性鉴别':0.00435,'定性':0.00435,'标识性':0.00435}	{'recognition':0.65517,'identification':0.24138,'identify':0.10345}	{'identification': 103, 'recognition': 49, 'identify': 0}	recognition
智能材料		{'smart material':0.41379,'smart materials':0.2069,'intelligent material':0.17241,'intelligent materials':0.13793,'intelligence material':0.06897}	{'intelligent materials': 107, 'smart materials': 96, 'smart material': 16, 'intelligent material': 3, 'intelligence material': 0}	smart material
草木染	{'草木染':0.56598,'植物染色':0.25562,'植物染':0.12071,'天然染色':0.05769}	{'plant dyeing':0.46154,'vegetation dyeing':0.34615,'natural dyeing':0.11538,'grass dyeing':0.07692}	{'natural dyeing': 84, 'plant dyeing': 9, 'vegetation dyeing': 0, 'grass dyeing': 0}	plant dyeing
绿色设计		{'green design':1.0}	{'green design': 0}	green design
Modal纤维	{'莫代尔纤维':0.48214,'Modal纤维':0.475,'莫代尔':0.04286}	{'modal fiber':0.78571,'modal fibre':0.21429}	{'modal fiber': 7, 'modal fibre': 0}	modal fiber
有机颜料		{'organic pigment':0.55556,'organic pigments':0.44444}	{'organic pigments': 47, 'organic pigment': 20}	organic pigment
铜氨纤维		{'copper ammonia fiber':0.26923,'cuprammonium fiber':0.26923,'cuprammonium rayon':0.19231,'cupro fiber':0.15385,'cuprammonuium':0.11538}	{'cuprammonium rayon': 6, 'cupro fiber': 4, 'copper ammonia fiber': 0, 'cuprammonium fiber': 0, 'cuprammonuium': 0}	copper ammonia fiber
三维机织物	{'三维机织物':0.87578,'立体织物':0.06211,'三维织物':0.04969,'立体感面料':0.01242}	{'three-dimensional woven fabric':0.33333,'3d woven fabric':0.28571,'3-d woven fabric':0.2381,'three-dimensional fabric':0.14286}	{'3d woven fabric': 7, 'three-dimensional fabric': 6, 'three-dimensional woven fabric': 5, '3-d woven fabric': 0}	three-dimensional woven fabric
碳足迹		{'carbon footprint':1.0}	{'carbon footprint': 167}	carbon footprint
乙二醛		{'glyoxal':1.0}	{'glyoxal': 52}	glyoxal
针刺非织造布	{'针刺非织造布':0.86666,'针刺非织造材料':0.07018,'针刺非织造':0.06316}	{'needle-punched nonwoven':0.31579,'needle-punched nonwovens':0.21053,'needle punched nonwoven':0.15789,'needled nonwovens':0.10526,'needle punched non-woven fabric':0.10526,'needle-punched nonwoven fabrics':0.10526}	{'needle-punched nonwoven': 135, 'needle-punched nonwovens': 56, 'needle punched nonwoven': 5, 'needled nonwovens': 0, 'needle punched non-woven fabric': 0, 'needle-punched nonwoven fabrics': 0}	needle-punched nonwoven
吸波材料		{'absorbing material':0.5,'wave-absorbing material':0.11538,'wave absorbing material':0.11538,'wave absorption material':0.11538,'absorbing materials':0.07692,'microwave absorbing material':0.07692}	{'absorbing materials': 85, 'microwave absorbing material': 3, 'absorbing material': 0, 'wave-absorbing material': 0, 'wave absorbing material': 0, 'wave absorption material': 0}	absorbing material
分梳辊		{'carding roller':0.42857,'combing roller':0.35714,'opening roller':0.14286,'card roller':0.07143}	{'opening roller': 7, 'carding roller': 0, 'combing roller': 0, 'card roller': 0}	combing roller
